Asset,Strategie,n_years,Total Return %,Ann. Return %,Ann. Vol %,Max DD %,Sharpe,Calmar
Logitech,Buy & Hold,20.786,380.1,7.84,36.237,-85.573,0.39,0.092
Logitech,Momentum,20.786,181.66,5.108,25.104,-52.484,0.324,0.097
Logitech,V6 Smart (dyn. Slippage),20.786,145.03,4.406,35.54,-85.146,0.299,0.052
Logitech,V6 Smart (fix 2.5%),20.786,241.35,6.085,35.404,-84.207,0.344,0.072
Sika,Buy & Hold,20.786,1089.47,12.651,29.803,-73.589,0.55,0.172
Sika,Momentum,20.786,-2.46,-0.12,20.557,-77.358,0.098,-0.002
Sika,V6 Smart (dyn. Slippage),20.786,561.53,9.516,28.96,-78.634,0.46,0.121
Sika,V6 Smart (fix 2.5%),20.786,632.6,10.055,28.908,-78.38,0.477,0.128
Richemont,Buy & Hold,21.782,957.01,11.433,31.507,-67.496,0.502,0.169
Richemont,Momentum,21.782,16.01,0.684,21.65,-62.111,0.14,0.011
Richemont,V6 Smart (dyn. Slippage),21.782,530.17,8.818,30.865,-74.058,0.429,0.119
Richemont,V6 Smart (fix 2.5%),21.782,624.95,9.521,30.801,-73.788,0.45,0.129
Lonza,Buy & Hold,21.782,1029.36,11.772,28.705,-77.53,0.535,0.152
Lonza,Momentum,21.782,64.25,2.304,20.017,-55.249,0.215,0.042
Lonza,V6 Smart (dyn. Slippage),21.782,344.75,7.091,28.192,-83.283,0.387,0.085
Lonza,V6 Smart (fix 2.5%),21.782,466.82,8.29,28.086,-82.143,0.427,0.101
Partners Group,Buy & Hold,19.773,1459.37,14.903,28.835,-69.444,0.626,0.215
Partners Group,Momentum,19.773,1202.4,13.862,20.645,-34.71,0.732,0.399
Partners Group,V6 Smart (dyn. Slippage),19.773,954.82,12.654,27.318,-57.322,0.573,0.221
Partners Group,V6 Smart (fix 2.5%),19.773,1111.13,13.444,27.239,-56.559,0.6,0.238
